tarih,soru,a,b,c,d,cevap,bilgi_notu
,Çanakkale Cephesi hangi yılda açıldı?,1914,1915,1916,1917,1,"Şubat 1915'te başlayan Çanakkale Harekâtı, İtilaf Devletleri'nin Osmanlı'yı savaş dışı bırakma planının parçasıydı."
,Osmanlı Devleti'nde Tanzimat Fermanı hangi yılda ilan edildi?,1826,1839,1856,1876,1,"3 Kasım 1839'da ilan edilen Tanzimat Fermanı, Osmanlı'da modern hukuk ve yönetim anlayışının dönüm noktasıdır."
,Türkiye'nin ilk cumhurbaşkanlığı seçimi ne zaman yapıldı?,1920,1921,1923,1924,2,"29 Ekim 1923'te TBMM, Mustafa Kemal'i ilk Cumhurbaşkanı olarak seçti; aynı gün Cumhuriyet ilan edildi."
,Kurtuluş Savaşı'nın son büyük kara muharebesinin adı nedir?,Sakarya,İnönü,Dumlupınar,Afyon,2,26–30 Ağustos 1922'de gerçekleşen Dumlupınar Muharebesi Türk ordusunun kesin zaferini getirdi.
,Osmanlı'nın Balkan topraklarını kaybettiği savaş hangisidir?,Birinci Balkan Savaşı,Trablusgarp Savaşı,93 Harbi,Birinci Dünya Savaşı,0,"1912–1913 Birinci Balkan Savaşı'yla Osmanlı, Avrupa'daki topraklarının büyük bölümünü kaybetti."
,Büyük İskender kaç yaşında hayatını kaybetti?,28,30,32,36,2,MÖ 323'te Babil'de hayatını kaybeden Büyük İskender 32 yaşındaydı.
,Magna Carta hangi yılda imzalandı?,1066,1215,1265,1348,1,"1215'te İngiltere Kralı John tarafından imzalanan Magna Carta, modern hukuk devletinin temel belgelerinden biridir."
,ABD Bağımsızlık Bildirisi hangi yılda ilan edildi?,1773,1775,1776,1783,2,"4 Temmuz 1776'da yayımlanan Bağımsızlık Bildirisi, 13 koloninin İngiltere'den bağımsızlığını duyuruyordu."
,Sovyetler Birliği hangi yılda dağıldı?,1989,1990,1991,1992,2,25 Aralık 1991'de Gorbaçov'un istifasıyla SSCB resmen sona erdi; 15 bağımsız devlet oluştu.
,Darwin 'Türlerin Kökeni' adlı eserini hangi yılda yayımladı?,1844,1852,1859,1872,2,24 Kasım 1859'da yayımlanan bu eser evrim teorisini bilim dünyasına tanıttı ve büyük tartışmalara yol açtı.
,İkinci Dünya Savaşı'nda ilk atom bombası hangi şehre atıldı?,Nagasaki,Tokyo,Hiroşima,Osaka,2,6 Ağustos 1945'te 'Little Boy' kod adlı atom bombası Hiroşima'ya atıldı; üç gün sonra Nagasaki'ye de ikinci bomba atıldı.
,Fransız Devrimi'nin sloganı hangisidir?,Adalet-Özgürlük-Eşitlik,Özgürlük-Eşitlik-Kardeşlik,Barış-Adalet-Refah,Özgürlük-Demokrasi-Halk,1,"Liberté, Égalité, Fraternité (Özgürlük, Eşitlik, Kardeşlik) bugün hâlâ Fransa'nın ulusal sloganıdır."
,Birinci Dünya Savaşı'nı başlatan suikastin kurbanı kimdir?,Franz Josef,Wilhelm II,Arşidük Franz Ferdinand,Bismarck,2,28 Haziran 1914'te Saraybosna'da gerçekleşen suikastle Avusturya-Macaristan Veliahdı Arşidük Franz Ferdinand öldürüldü.
,Napolyon Waterloo Savaşı'nda hangi yılda yenildi?,1812,1813,1815,1821,2,18 Haziran 1815'te gerçekleşen Waterloo Muharebesi'nde Napolyon kesin yenilgiye uğradı ve Saint Helena adasına sürgüne gönderildi.
,Columbus Amerika'ya hangi yılda ulaştı?,1488,1490,1492,1498,2,12 Ekim 1492'de Columbus'un gemileri Bahamalar'a ulaştı; bu tarih bazı ülkelerde Columbus Günü olarak anılır.
,Dünyayı ilk kez gemisiyle dolaşmayı başaran ekibin lideri kimdi?,Vasco da Gama,Bartolomeu Dias,Ferdinand Magellan,Francis Drake,2,Magellan 1519'da sefere çıktı ancak Filipinler'de öldürüldü; ekibinin geri kalanı 1522'de ilk dünya turunu tamamladı.
,Süveyş Kanalı hangi yılda açıldı?,1857,1863,1869,1875,2,"17 Kasım 1869'da açılan Süveyş Kanalı, Avrupa ile Asya arasındaki deniz yolunu önemli ölçüde kısalttı."
,Gutenberg matbaayı hangi yüzyılda icat etti?,13. yüzyıl,14. yüzyıl,15. yüzyıl,16. yüzyıl,2,Johannes Gutenberg yaklaşık 1440'ta hareketli baskı tekniğini geliştirdi; ilk büyük baskı 1455'te tamamlanan Kutsal Kitap'tır.
,Rönesans hareketi hangi ülkede başladı?,Fransa,İngiltere,İtalya,Almanya,2,"14. yüzyılda İtalya'da başlayan Rönesans, antik Yunan ve Roma eserlerinin yeniden keşfedilmesiyle bilim ve sanatın canlanmasıydı."
,Penisilin'i keşfeden bilim insanı kimdir?,Louis Pasteur,Marie Curie,Alexander Fleming,Robert Koch,2,Alexander Fleming 1928'de petri kabındaki bir küfün bakterileri öldürdüğünü fark etti; penisilin İkinci Dünya Savaşı'nda milyonları kurtardı.
,NASA hangi yılda kuruldu?,1955,1957,1958,1961,2,NASA 29 Temmuz 1958'de kuruldu; Sovyetler'in Sputnik başarısına karşılık olarak uzay yarışında öncü olmak amacıyla oluşturuldu.
,İnsan Hakları Evrensel Beyannamesi hangi yılda kabul edildi?,1945,1946,1948,1950,2,10 Aralık 1948'de BM Genel Kurulu tarafından kabul edildi; bu tarih bugün Dünya İnsan Hakları Günü olarak kutlanmaktadır.
,İlk uzay yürüyüşünü gerçekleştiren kozmonot kimdir?,Yuri Gagarin,Neil Armstrong,Alexei Leonov,John Glenn,2,18 Mart 1965'te Sovyet kozmonot Alexei Leonov 12 dakika süren ilk uzay yürüyüşünü gerçekleştirdi.
,Heliosentrik (Güneş merkezli) teoriyi ilk ileri süren bilim insanı kimdir?,Galileo,Kepler,Kopernik,Newton,2,Nicolaus Kopernik 1543'te yayımladığı eserinde Dünya'nın Güneş etrafında döndüğünü savundu ve Kilise ile büyük çatışmaya yol açtı.
,İngiliz Sanayi Devrimi hangi yüzyılda başladı?,16. yüzyıl,17. yüzyıl,18. yüzyıl,19. yüzyıl,2,"18. yüzyılın ortasında İngiltere'de başlayan Sanayi Devrimi, buhar makinesinin yaygınlaşmasıyla üretimi köklü biçimde dönüştürdü."
,Pearl Harbor saldırısı hangi yılda gerçekleşti?,1939,1940,1941,1942,2,7 Aralık 1941'de Japonya'nın Pearl Harbor'a saldırması ABD'nin İkinci Dünya Savaşı'na girmesine neden oldu.
,Antik Olimpiyat Oyunları ilk kez hangi yılda düzenlendi?,MÖ 1000,MÖ 880,MÖ 776,MÖ 490,2,MÖ 776'da Yunanistan'ın Olympia şehrinde başlayan oyunlar MS 393'e kadar yaklaşık 1200 yıl kesintisiz düzenlendi.
,Giza Büyük Piramidi hangi firavun için inşa edildi?,Ramses II,Tutankamon,Keops (Khufu),Kleopatra,2,"MÖ yaklaşık 2560'ta tamamlanan Büyük Piramit, Firavun Keops için yapıldı ve 3800 yıl dünyanın en yüksek yapısı olma unvanını korudu."
,MÖ 79'da Vezüv Yanardağı'nın püskürmesiyle yok olan şehir hangisidir?,Atina,Kartaca,Pompeii,Troia,2,MÖ 79'da Vezüv Yanardağı'nın püskürmesiyle Pompeii saatler içinde küle gömüldü; binlerce kişi hayatını kaybetti.
,Rusya'da 1917 Bolşevik Devrimi'ni gerçekleştiren lider kimdir?,Troçki,Stalin,Lenin,Kerenski,2,"Vladimir Lenin liderliğindeki Bolşevikler, Ekim 1917'de geçici hükümeti devirdi ve Sovyet yönetimini kurdu."
,Mao Zedong Çin Halk Cumhuriyeti'ni hangi yılda ilan etti?,1945,1947,1949,1952,2,1 Ekim 1949'da Mao Zedong Pekin'de Çin Halk Cumhuriyeti'nin kuruluşunu ilan etti.
,Fransız Devrimi sırasında idam edilen Fransız Kralı kimdir?,XIII. Louis,XIV. Louis,XV. Louis,XVI. Louis,3,XVI. Louis 21 Ocak 1793'te Devrim Meydanı'nda giyotinle idam edildi; karısı Marie Antoinette de aynı yıl aynı akıbete uğradı.
,Marco Polo hangi hükümdarın sarayında misafir olmuştur?,Osmanlı Sultanı,Moğol İmparatoru Kubilay Han,Çin Ming İmparatoru,Hindistan Sultanı,1,Marco Polo 1275–1292 arasında Kubilay Han'ın sarayında yaşadı; dönüşünde yazdıkları Avrupa'yı Asya'ya olan ilgiyle heyecanlandırdı.
,Berlin Duvarı hangi yılda inşa edildi?,1956,1958,1961,1963,2,"13 Ağustos 1961'de inşa edilen Duvar, 28 yıl boyunca Soğuk Savaş'ın en güçlü sembolü oldu."
,Mona Lisa'yı hangi sanatçı yapmıştır?,Michelangelo,Leonardo da Vinci,Raphael,Botticelli,1,"Leonardo da Vinci tarafından 1503–1519 arasında yapılan Mona Lisa, dünyanın en tanınan ve en çok ziyaret edilen sanat eseridir."
,Osmanlı İmparatorluğu yaklaşık kaç yıl sürmüştür?,400 yıl,500 yıl,600 yıl,700 yıl,2,"1299'dan 1922'ye kadar yaklaşık 623 yıl süren Osmanlı İmparatorluğu, tarihin en uzun ömürlü devletlerinden biridir."
,İlk modern Olimpiyat Oyunları hangi yılda ve nerede yapıldı?,1892 Paris,1896 Atina,1900 Paris,1904 St. Louis,1,"Modern Olimpiyat Oyunları, Pierre de Coubertin'in girişimiyle 1896'da Atina'da yeniden başlatıldı; 14 ülkeden 241 sporcu katıldı."
,Doğu Roma (Bizans) İmparatorluğu'nun başkenti neresidir?,Roma,Atina,Konstantinopolis,İskenderiye,2,"Konstantinopolis (bugünkü İstanbul), MS 330'dan 1453'e kadar yaklaşık 1100 yıl Doğu Roma İmparatorluğu'nun başkenti oldu."
,'Ölü Denizkıyısı Yazmaları' hangi yüzyılda bulundu?,17. yüzyıl,18. yüzyıl,19. yüzyıl,20. yüzyıl,3,"1947'de Qumran mağaralarında bulunan Dead Sea Scrolls, Eski Ahit'in bilinen en eski el yazması nüshalarını içermektedir."
,Hangi ülke 1945'te BM'nin kurucu üyeleri arasında yer almamaktadır?,Türkiye,Çin,Japonya,Fransa,2,"Japonya, İkinci Dünya Savaşı'nın yenik tarafı olduğu için BM'nin 1945'teki kuruluşunda yer almadı; 1956'da üye oldu."
,Antik Mısır'ın son firavunu kimdir?,Nefertiti,Hatşepsut,Kleopatra VII,Ramses III,2,Kleopatra VII MÖ 30'da Roma'ya yenik düştüğünde Antik Mısır Krallığı sona erdi ve Roma eyaleti oldu.
